ticker_base;ticker_b3_11;fundo_b3;razao_social_b3;duplicidade_ticker_b3;match_metodo;match_score;confianca;id_registro_fundo;cnpj_fundo;codigo_cvm_fundo;tipo_fundo_cvm;denominacao_fundo_cvm;situacao_fundo_cvm;data_registro_fundo;data_cancelamento_fundo;administrador_fundo;gestor_fundo;patrimonio_liq_fundo_cadastro;data_patrimonio_fundo_cadastro;id_registro_classe;cnpj_classe;codigo_cvm_classe;tipo_classe_cvm;denominacao_classe_cvm;situacao_classe_cvm;classificacao_classe;forma_condominio_classe;publico_alvo_classe;patrimonio_liq_classe_cadastro;data_patrimonio_classe_cadastro;auditor_classe;custodiante_classe;cad_fi_match_metodo;cad_fi_cnpj;cad_fi_situacao;cad_fi_classe_anbima;inf_diario_dt_competencia;inf_diario_vl_total;inf_diario_vl_quota;inf_diario_vl_patrim_liq;inf_diario_captc_dia;inf_diario_resg_dia;inf_diario_nr_cotistas;observacao_pendencia
ALMI;ALMI11;FII TORRE AL;FII TORRE ALMIRANTE;NÃO;classe_exata;1.0;Alta;442;7122725000100;304004;FII;FII TORRE ALMIRANTE;Em Funcionamento Normal;2004-11-19;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;234123600.37;2025-04-30;34059;7122725000100;5533;Classes de Cotas de Fundos FII;FII TORRE ALMIRANTE;Em Funcionamento Normal;;Fechado;;223708735.66;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
FLNR;FLNR11;FII FLNR;FLORIANO FUNDO DE INVESTIMENTO IMOBILIÁRIO;NÃO;classe_exata;1.0;Alta;1361;41.820.693/0001-46;322139;FII;FLORIANO FUNDO DE INVESTIMENTO IMOBILIÁRIO;Em Funcionamento Normal;2022-11-01;;PLANNER CORRETORA DE VALORES S.A.;MULTIPLICA CAPITAL ASSET MANAGEMENT LTDA.;155973386.02;2024-11-30;34603;41.820.693/0001-46;3603;Classes de Cotas de Fundos FII;FLORIANO FUNDO DE INVESTIMENTO IMOBILIÁRIO;Em Funcionamento Normal;;Fechado;;154522827.53;2026-03-31;NEXT AUDITORES INDEPENDENTES S/S LTDA.;PLANNER CORRETORA DE VALORES S.A.;cnpj;41.820.693/0001-46;CANCELADA;;;;;;;;;sem_inf_diario_202605
HLMB;HLMB11;FII HLMB;FRAM CAPITAL HELMER MULTIATIVOS RENDA PREFERENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;NÃO;classe_exata;1.0;Alta;1309;40.944.707/0001-70;321085;FII;FRAM CAPITAL HELMER MULTIATIVOS RENDA PREFERENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;Em Funcionamento Normal;2021-07-08;;OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;FRAM CAPITAL GESTÃO DE ATIVOS LTDA.;63131282.20;2025-05-31;34570;40.944.707/0001-70;11061;Classes de Cotas de Fundos FII;FRAM CAPITAL HELMER MULTIATIVOS RENDA PREFERENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;Em Funcionamento Normal;;;;49282430.55;2026-03-31;UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES;OSLO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;;;;;;;;;;;sem_inf_diario_202605
KFOF;KFOF11;FII KINEAFOF;FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;966;30.091.444/0001-40;318022;FII;FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2018-05-23;;INTRAG DTVM LTDA.;KINEA INVESTIMENTOS LTDA.;636861679.93;2024-09-30;34338;30.091.444/0001-40;2720;Classes de Cotas de Fundos FII;FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;654102112.84;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;ITAU UNIBANCO S.A.;;;;;;;;;;;;sem_inf_diario_202605
DVFF;DVFF11;FII DEVA FOF;FUNDO DE INVESTIMENTO IMOBILIÁRIO - DEVANT FUNDO DE FUNDOS IMOBILIÁRIOS DE RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1269;39.863.059/0001-49;321038;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - DEVANT FUNDO DE FUNDOS IMOBILIÁRIOS DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2021-04-09;;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;DEVANT ASSET INVESTIMENTOS LTDA;92422998.40;2025-05-31;34545;39.863.059/0001-49;7323;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - DEVANT FUNDO DE FUNDOS IMOBILIÁRIOS DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;95563460.90;2026-03-31;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;;;;;;;;;;;sem_inf_diario_202605
ANCR;ANCR11;FII ANCAR IC;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ANCAR IC - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;450;7789135000127;306001;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ANCAR IC - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2006-01-03;;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.;SCAI GESTORA DE RECURSOS LTDA.;2939825816.64;2025-05-31;34062;7789135000127;9024;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ANCAR IC - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;4132586658.37;2026-03-31;KPMG AUDITORES INDEPENDENTES LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
FAED;FAED11;FII ANH EDUC;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ANHANGUERA EDUCACIONAL RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;491;11.179.118/0001-45;309012;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ANHANGUERA EDUCACIONAL RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2009-12-16;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;;153716109.34;2025-02-28;34088;11.179.118/0001-45;4375;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ANHANGUERA EDUCACIONAL RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;157428382.64;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
FCFL;FCFL11;FII CAMPUSFL;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII CAMPUS FARIA LIMA RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;505;11.602.654/0001-01;310008;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII CAMPUS FARIA LIMA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2010-06-08;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;427769973.46;2025-02-28;34095;11.602.654/0001-01;4650;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII CAMPUS FARIA LIMA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;432663406.52;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
CEOC;CEOC11;FII CEO CCP;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII CEO CYRELA COMMERCIAL PROPERTIES RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;622;15.799.397/0001-09;312034;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII CEO CYRELA COMMERCIAL PROPERTIES RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2012-11-07;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;;132622452.82;2025-02-28;34159;15.799.397/0001-09;4677;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII CEO CYRELA COMMERCIAL PROPERTIES RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;123783458.75;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
FAMB;FAMB11;FII ALMIRANT;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFÍCIO ALMIRANTE BARROSO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;437;5562312000102;303002;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFÍCIO ALMIRANTE BARROSO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2003-03-17;;ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;ÁFIRA GESTÃO DE RECURSOS LTDA.;252366673.86;2025-02-28;34056;5562312000102;4367;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFÍCIO ALMIRANTE BARROSO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;120810136.28;2026-03-31;BGM AUDITORES INDEPENDENTES S/S LTDA;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
EDGA;EDGA11;FII GALERIA;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFÍCIO GALERIA RESPONSABILIADADE LIMITADA;NÃO;classe_exata;1.0;Alta;607;15.333.306/0001-37;312026;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFÍCIO GALERIA RESPONSABILIADADE LIMITADA;Em Funcionamento Normal;2012-08-27;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;;247511894.62;2025-02-28;34148;15.333.306/0001-37;4669;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFÍCIO GALERIA RESPONSABILIADADE LIMITADA;Em Funcionamento Normal;;Fechado;;160937100.31;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
FYTO;FYTO11;FII FYTO;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII FYTO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;688;18.085.673/0001-57;313043;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII FYTO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2013-10-10;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;FYTO CAPITAL ADMINISTRADORA DE RECURSOS LTDA;148979591.77;2025-02-28;34190;18.085.673/0001-57;4316;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII FYTO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;151649553.50;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
HCRI;HCRI11;FII CRIANCA;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII HOSPITAL DA CRIANÇA RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;423;4066582000160;300005;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII HOSPITAL DA CRIANÇA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2000-10-03;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;;65185251.12;2025-02-28;34052;4066582000160;4634;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII HOSPITAL DA CRIANÇA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;57268020.46;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
NSLU;NSLU11;FII LOURDES;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII HOSPITAL NOSSA SENHORA DE LOURDES RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;451;8014513000163;306002;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII HOSPITAL NOSSA SENHORA DE LOURDES RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2006-04-20;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;271112954.98;2025-02-28;34063;8014513000163;4642;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII HOSPITAL NOSSA SENHORA DE LOURDES RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;224385241.69;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
MAXR;MAXR11;FII MAX RET;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII MAX RETAIL RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;498;11.274.415/0001-70;310003;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII MAX RETAIL RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2010-04-20;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;;117599299.83;2025-03-31;34092;11.274.415/0001-70;4979;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII MAX RETAIL RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;105021185.06;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
PQDP;PQDP11;FII D PEDRO;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII PARQUE DOM PEDRO SHOPPING CENTER RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;484;10.869.155/0001-12;309003;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII PARQUE DOM PEDRO SHOPPING CENTER RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2009-06-16;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;336217018.56;2025-02-28;34084;10.869.155/0001-12;4782;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII PARQUE DOM PEDRO SHOPPING CENTER RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;571578351.46;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
RBRI;RBRI11;FII RBR III;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENVOLVIMENTO III RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1047;32.441.656/0001-36;319003;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENVOLVIMENTO III RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2019-01-17;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;RBR PRIVATE EQUITY GESTÃO DE RECURSOS LTDA.;113714489.21;2025-04-30;34400;32.441.656/0001-36;5797;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENVOLVIMENTO III RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;52970325.35;2026-03-31;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;BANCO BTG PACTUAL S/A;nome_exato;26.314.437/0001-93;CANCELADA;;;;;;;;;sem_inf_diario_202605
RDIV;RDIV11;FII RBRDESIV;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENVOLVIMENTO IV RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1196;36.642.275/0001-76;320093;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENVOLVIMENTO IV RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2020-10-07;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;RBR PRIVATE EQUITY GESTÃO DE RECURSOS LTDA.;242323473.17;2025-04-30;34496;36.642.275/0001-76;5860;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENVOLVIMENTO IV RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;223657011.21;2026-03-31;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;BANCO BTG PACTUAL S/A;nome_exato;26.314.437/0001-93;CANCELADA;;;;;;;;;sem_inf_diario_202605
RBRR;RBRR11;FII RBRR PAX;FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR RENDIMENTO HIGH GRADE RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;957;29.467.977/0001-03;318004;FII;FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR RENDIMENTO HIGH GRADE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2018-01-30;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;RBR GESTÃO DE RECURSOS LTDA;1370338737.70;2025-02-28;34333;29.467.977/0001-03;4707;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR RENDIMENTO HIGH GRADE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;1511817994.91;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
RECR;RECR11;FII REC RECE;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;925;28.152.272/0001-26;317053;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2017-07-21;;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;2359665396.17;2025-05-31;34313;28.152.272/0001-26;9903;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;2351537277.46;2026-03-31;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;nome_fuzzy_0.90;40.102.474/0001-69;LIQUIDAÇÃO;;;;;;;;;sem_inf_diario_202605
RECT;RECT11;FII REC REND;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RENDA IMOBILIÁRIA - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1036;32.274.163/0001-59;318069;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RENDA IMOBILIÁRIA - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2018-12-20;;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;776603301.84;2025-05-31;34391;32.274.163/0001-59;7978;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RENDA IMOBILIÁRIA - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;766838973.45;2026-03-31;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;;;;;;;;;;;sem_inf_diario_202605
SHDP;SHDP11;FII SHOP PDP;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SHOPPING PARQUE D. PEDRO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;443;7224019000160;305001;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SHOPPING PARQUE D. PEDRO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2005-01-28;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;;1658407287.99;2025-04-30;34060;7224019000160;5711;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SHOPPING PARQUE D. PEDRO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;;;1234250733.93;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
TRNT;TRNT11;FII TORRE NO;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII TORRE NORTE;NÃO;classe_exata;1.0;Alta;428;4722883000102;301005;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII TORRE NORTE;Em Funcionamento Normal;2001-10-10;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PÁTRIA VBI ASSET MANAGEMENT LTDA.;682291776.73;2024-11-30;34055;4722883000102;3379;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII TORRE NORTE;Em Funcionamento Normal;;;;652098161.86;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
APXR;APXR11;FII APXR;FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX REALTY - FII;NÃO;classe_exata;1.0;Alta;1732;52.446.271/0001-79;323136;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX REALTY - FII;Em Funcionamento Normal;2023-10-05;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;BRM CARBYNE GESTÃO DE RECURSOS LTDA.;8763816.05;2024-09-30;34846;52.446.271/0001-79;27;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX REALTY - FII;Em Funcionamento Normal;;Fechado;;8413085.62;2026-03-31;;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
BRHT;BRHT11;FII BRHOTEIS;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;NÃO;classe_exata;1.0;Alta;612;15.461.076/0001-91;312043;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;Em Funcionamento Normal;2012-12-18;;RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;GRAPHEN INVESTIMENTOS LTDA.;117455600.20;2025-05-31;34152;15.461.076/0001-91;6548;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;Em Funcionamento Normal;;Fechado;;112199117.71;2026-04-30;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;;;;;;;;;sem_inf_diario_202605
BRCQ;BRCQ11;FII BRCQ;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRC-IV DESENVOLVIMENTO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1958;57.495.006/0001-02;324169;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRC-IV DESENVOLVIMENTO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2024-09-30;;BR-CAPITAL DTVM S.A.;BR-CAPITAL DTVM S.A.;;;35022;57.495.006/0001-02;2585;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRC-IV DESENVOLVIMENTO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;14715817.55;2026-03-31;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;BR-CAPITAL DTVM S.A.;nome_fuzzy_0.95;26.314.437/0001-93;CANCELADA;;;;;;;;;sem_inf_diario_202605
CXAG;CXAG11;FII CAIXA AG;FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1293;40.189.596/0001-34;321064;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2021-06-04;;OLIVEIRA TRUST DTVM S.A.;RB ASSET MANAGEMENT LTDA;242237421.73;2025-04-30;34561;40.189.596/0001-34;5886;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;231296079.72;2026-03-31;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
CXCI;CXCI11;FII CAIXA CI;FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1378;42.066.916/0001-94;321111;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2021-08-18;;CAIXA ECONOMICA FEDERAL;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;175172814.49;2025-05-31;34613;42.066.916/0001-94;8273;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;177418144.18;2026-03-31;KPMG AUDITORES INDEPENDENTES LTDA.;ITAU UNIBANCO S.A.;;;;;;;;;;;;sem_inf_diario_202605
CXCE;CXCE11;FII CX CEDAE;FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;485;10.991.914/0001-15;310002;FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2010-02-22;;CAIXA ECONOMICA FEDERAL;CAIXA ECONOMICA FEDERAL;108617907.94;2025-05-31;34085;10.991.914/0001-15;6530;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;107987804.32;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;;;;;;;;;;;;sem_inf_diario_202605
